Topic,Count,Name,Representation,Representative_Docs
0,878,0_life_love_woman_family,"['life', 'love', 'woman', 'family', 'new', 'husband', 'man', 'one', 'find', 'mother']","['new york time bestselling classic young woman journey work love life swinging funny tender study contemporary relationship bank refutes popular notion neurotic thirtysomething weekly truly wickedly insightful girl guide hunting fishing map progress jane rosenal set personal spirited expedition perilous terrain sex love relationship treacherous water workplace soon jane swept foot older man fitzgeraldesque whirl cocktail party country house rule made broken come realize world stake much high comfort unforgettable comic touch bank skillfully tease universal issue put clever new spin mating dance capture perfect pitch like come age young woman', 'new york time bestselling classic young woman journey work love life swinging funny tender study contemporary relationship bank refutes popular notion neurotic thirtysomething weekly truly wickedly insightful girl guide hunting fishing map progress jane rosenal set personal spirited expedition perilous terrain sex love relationship treacherous water workplace soon jane swept foot older man fitzgeraldesque whirl cocktail party country house rule made broken come realize world stake much high comfort unforgettable comic touch bank skillfully tease universal issue put clever new spin mating dance capture perfect pitch like come age young woman', 'new york time bestselling classic young woman journey work love life swinging funny tender study contemporary relationship bank refutes popular notion neurotic thirtysomething weekly truly wickedly insightful girl guide hunting fishing map progress jane rosenal set personal spirited expedition perilous terrain sex love relationship treacherous water workplace soon jane swept foot older man fitzgeraldesque whirl cocktail party country house rule made broken come realize world stake much high comfort unforgettable comic touch bank skillfully tease universal issue put clever new spin mating dance capture perfect pitch like come age young woman']"
1,618,1_murder_case_killer_detective,"['murder', 'case', 'killer', 'detective', 'crime', 'one', 'find', 'police', 'new', 'attorney']","['new york time bestselling author perri take courtroom thriller breathtaking new height move strike masterpiece suspense brings back attorney nina reilly hailed critic one interesting heroine legal thriller today san jose mercury news nina reilly thought seen attorney single mother nina afraid tackle toughest case trickiest defense wholly unprepared latest nicole zack rebel thief best friend nina teenage son bob nikki steal something uncle prominent plastic surgeon kill cold blood find nina call paul van wagoner whose bravado conceals troubling personal secret paul investigates eerily coincidental death surgeon killed plane crash night father sort twisting lie surrounding nikki uncovering seething mystery enraged former patient two old crime finally nina must confront central question must answer order save client nikki really see night uncle murder', 'moment every attorney fear one careless moment threatens career reputation life nina reilly change ignite case client witness defendant nina attorney championing desperate people nina reilly skirted edge legal ethic pursuit result never broken rule absolute protection client secret one september night lake tahoe unlocked truck stolen life change forever gone sensitive case file complete sometimes brutally candid note took interviewing client every attorney nightmare worst happened secret revealed one one way cause greatest harm nina client complain state bar california suddenly nina fighting license livelihood legal proceeding may ultimately lead disbarment desperation nina turn celebrated san francisco lawyer jack mcintyre represent personal tension erupt mcintyre nina sometime boyfriend private investigator paul van wagoner reputation ruined people begin die chilling pattern rage revenge come focus someone bent destroying life nina client process nina reilly', 'twelve year ago young girl disappeared filmmaker made movie girl parent call invasion privacy woman lawyer call murder bloodstain courtroom floor belong attorney nina reilly month earlier shot heated murder trial died day instead nina returned lake tahoe court concession lingering fear give criminal law figure invasion privacy lawsuit nice safe civil action help support young son pay bill law office figure wrong nina client terry london filmmaker whose documentary missing girl raising disturbing question girl distraught parent believe film invades privacy terry brutal murder change everything breaking promise nina decides defend terry accused murderer man known year hoped never see suddenly secret nina past beginning surface murder case get dangerous every day evidence client shocking ironclad video terry dying word chance nina save man may illegal fails nina may lose case practice even life']"
2,402,2_vampire_novel_new_series,"['vampire', 'novel', 'new', 'series', 'author', 'time', 'rice', 'magic', 'one', 'story']","['anne rice richly told new novel first time weave together two irresistible world witch world vampire world dance seduction death rebirth lestat mesmerizing friend louis de pointe du lac tortured memory child vampire claudia loved lost help david talbot vampire ultimate fixer secret talamasca organization louis appeal merrick beautiful illegitimate daughter new orleans mayfair clan merrick must use black witchcraft call ghost claudia however dangerous may search take close edge blood terror voodoo violence sweeping new orleans guatemalan jungle vampire literature hypnotic exotic splendid', 'national bestseller vampire chronicle continue great vampire marius return marius true child millennium mentor vampire lestat always forever conscientious foe evil doer reveals intense yet mate voice secret existence proud senator imperial rome kidnapped made blood god druid marius becomes embittered protector akasha enkil queen king vampire core supernatural race resides follow heartbreaking abandonment vampire pandora see fall pagan rome emperor constantine horrific sack eternal city hand visigoth bravely marius seek new civilization midst glittering constantinople meet blood drinker eudoxia see ultimately returning beloved italy horror black death restored beauty renaissance see become painter living dangerously yet happily among mortal giving heart great botticelli bewitching courtesan bianca mysterious young apprentice armand moving rome florence venice dresden english castle secret scholarly order talamasca novel reach dramatic finale time deep jungle marius told life story seek measure justice oldest vampire world', 'anne rice creator vampire lestat mayfair witch amazing world inhabit give u first new series novel linked together fledgling vampire david talbot set become chronicler fellow undead novel open paris crowded café david meet pandora two thousand year old child millennium first vampire ever made great marius david persuades tell story life pandora begin reluctantly first increasing passion recount mesmerizing tale take u age imperial rome france paris new orleans carry u back mortal girlhood world caesar augustus world chronicled ovid petronius pandora meet fall love handsome charismatic lighthearted marius rome forced flee fear assassination conspirator plotting take city follow exotic port antioch destined reunited marius immortal haunted vampire nature bestow dark gift set fraught fantastic adventure two turbulent century together look anne rice new book prince lestat realm atlantis coming november 29 2016']"
3,306,3_life_spiritual_book_woman,"['life', 'spiritual', 'book', 'woman', 'story', 'world', 'one', 'author', 'human', 'chinese']","['never read book like book come along lifetime change life forever rain forest peru ancient manuscript discovered within page 9 key insight life insight human predicted grasp sequentially one insight another move toward completely spiritual culture earth drawing ancient wisdom tell make connection among event happening life right let see going happen year come story tell gripping one adventure discovery also guidebook power crystallize perception life direct step new energy optimisim head tomorrow', '1 bestselling international phenomenon new preface never read book like book come along lifetime change life forever rain forest peru ancient manuscript discovered within page 9 key insight life insight human predicted grasp sequentially one insight another move toward completely spiritual culture earth drawing ancient wisdom tell make connection among event happening life right let see going happen year come story tell gripping one adventure discovery also guidebook power crystallize perception life direct step new energy optimism head tomorrow praise celestine prophecy gripping adventure story filled intrigue suspense spiritual revelation commonwealth journal spiritual classic book read reread cherish give friend joan borysenko phd author fire soul inimitable style great storytelling redfield open u world insight inspiration synchronicity power deepak chopra', 'guide developing maintaining spiritual life job drawn teaching practice buddhist tradition people associate buddhism developing calmness kindness compassion meditation lewis richmond work spiritual practice show u another aspect buddhism active engaged side allows u find creativity inspiration accomplishment work life forty spiritual exercise practiced middle busy workday work spiritual practice based principle regardless rank title work always chief executive inner life drawn author diverse professional buddhist meditation teacher business executive musician spiritual practice address wide variety problem learn perform spiritual practice commuting work meditate sitting walking minute time understand ambition money power spiritual perspective work spiritual practice essential guide anyone want bring spiritual life work life together']"
4,200,4_earth_ender_space_human,"['earth', 'ender', 'space', 'human', 'world', 'planet', 'universe', 'alien', 'ayla', 'shadow']","['sequel new york time bestselling ender shadow bestselling author orson scott card brings life new chapter saga ender earth shadow series earth society changed irrevocably aftermath ender wiggin victory formics unity enforced upon warring nation alien enemy shattered nation rising seeking territory influence seeking control skill loyalty child battle school one person better idea peter wiggin ender older ruthless brother see hope future earth lie restoring sense unity purpose irresistible call loyalty earth young warrior bean side two reshape future shadow puppet continuing story bean petra rest ender dragon army take place new government earth', 'bestselling author orson scott card brings life new chapter saga ender earth shadow series earth society changed irrevocably aftermath ender wiggin victory formics unity forced upon warring nation alien enemy shattered nation rising seeking territory influence seeking control skill loyalty child battle school one person better idea peter wiggin ender older ruthless brother see hope future earth lie restoring sense unity purpose irresistible call loyalty earth young warrior bean side two reshape future shadow puppet continuing story bean petra rest ender dragon army take place new government earth ender universe ender series ender game speaker dead xenocide child mind ender exile child fleet ender shadow series ender shadow shadow hegemon shadow puppet shadow giant shadow flight first formic war aaron johnston earth unaware earth afire earth awakens second formic war aaron johnston swarm hive ender novella war gift first meeting', 'novel launched bestselling ender shadow series human race war bugger alien race earth prepares defend total destruction hand inscrutable enemy focus development military genius fight war win long distance interstellar space given hope defender earth time train future commander childhood forging irresistible force high orbital facility called battle school andrew ender wiggin child battle school best best ender shadow card tell story another precocious general one called bean one became ender right hand part team final battle bugger bean past battle survive success brought attention battle school recruiter people scouring planet leader tactician general save earth threat alien invasion bean sent orbit battle school met ender ender universe ender series ender game ender exile speaker dead xenocide child mind ender shadow series ender shadow shadow hegemon shadow puppet shadow giant shadow flight child fleet first formic war aaron johnston earth unaware earth afire earth awakens second formic war aaron johnston swarm hive ender novella war gift meeting']"
5,245,5_time_book_calvin_new,"['time', 'book', 'calvin', 'new', 'comic', 'world', 'hilarious', 'york', 'hobbes', 'dilbert']","['creator dilbert comic strip america syndicated 900 newspaper read 60 million people present hilariously biting compilation cartoon expose absurdity corporate management dilbert sweeping nation san francisco chronicle dubbed cartoon hero workplace saying strip finger pulse workplace online one hottest web site internet million copy dilbert cartoon book sold latest cartoon compilation dilbert canine sidekick machiavellian dogbert present breakthrough management manual help boss stick employee often new manager make mistake like rewarding good work good pay communicating clearly improving departmental efficiency dogbert show could devastating result employee begin expect fair treatment compensation productive worker show result making manager look bad comparison department future budget allotment could decreased spends need drawn year experience tormenting dilbert advising bos dogbert top secret management handbook us pithy essay whose point illustrated hundred comic strip drive home lost cause employee workplace perfect gift boss office worker everywhere', 'creator dilbert comic strip nation syndicated nearly 1000 newspaper take look corporate america glorious lunacy lavishly illustrated dilbert strip hilarious essay incompetent boss management fad bewildering technological change much make anyone ever worked office laugh loud recognition dilbert principle ineffective worker systematically moved place least damage management since 1989 scott adam illustrating principle day lampooning corporate world dilbert enormously popular comic strip dilbert hero strip adam given voice million american buffeted many adversity workplace take next step attacking corporate culture lighthearted series essay packed 100 hilarious cartoon 25 chapter explore zeitgeist management trend overbearing ego management incompetence bottomless bureaucracy petrifying performance review meeting confusion information superhighway sharp eye even sharper wit adam expose skewer bizarre absurdity everyday corporate life reader convinced must spying boss dilbert principle ring true', 'creator dilbert comic strip nation syndicated nearly 1000 newspaper take look corporate america glorious lunacy lavishly illustrated dilbert strip hilarious essay incompetent boss management fad bewildering technological change much make anyone ever worked office laugh loud recognition dilbert principle ineffective worker systematically moved place least damage management since 1989 scott adam illustrating principle day lampooning corporate world dilbert enormously popular comic strip dilbert hero strip adam given voice million american buffeted many adversity workplace take next step attacking corporate culture lighthearted series essay packed 100 hilarious cartoon 25 chapter explore zeitgeist management trend overbearing ego management incompetence bottomless bureaucracy petrifying performance review meeting confusion information superhighway sharp eye even sharper wit adam expose skewer bizarre absurdity everyday corporate life reader convinced must spying boss dilbert principle ring true']"
6,212,6_medical_ryan_agent_cia,"['medical', 'ryan', 'agent', 'cia', 'thriller', 'jack', 'new', 'president', 'clancy', 'world']","['miss original series tom clancy jack ryan starring john krasinski president jack ryan face world crisis unlike ever known tom clancy extraordinary 1 new york time bestseller assassination attempt russia newly elected ryan sending trusted eye antiterrorism specialist john moscow fear worst yet come right attempt left already unstable russia vulnerable ambitious force china eager fulfill change face world know', 'miss original series tom clancy jack ryan starring john krasinski president jack ryan face world crisis unlike ever known tom clancy extraordinary 1 new york time bestseller assassination attempt russia newly elected ryan sending trusted eye antiterrorism specialist john moscow fear worst yet come right attempt left already unstable russia vulnerable ambitious force china eager fulfill change face world know', 'miss original series tom clancy jack ryan starring john krasinski 1 new york time bestselling jack ryan novel harrowing keep riveted political intrigue military maneuvering sends rushing headlong book stunning today bestselling author tom clancy take bold incisive look nation leader calling new world time place world peace yesterday enemy tomorrow ally player jack ryan new president national security advisor cia colleague john clark domingo chavez crisis shocking chain event wage peace fully war debt honor trace financial political military personal machination drive america next major global weekly']"
7,311,7_novel_book_series_fantasy,"['novel', 'book', 'series', 'fantasy', 'first', 'published', 'trilogy', 'time', 'science', 'world']","['modern fantasy classic entertainment weekly named greatest novel newsweek hailed top 100 book philip pullman take reader world human animal familiar parallel universe within reach lyra rushing cold far north witch clan armored bear rule north gobbler take child steal including friend roger north fearsome uncle asriel trying build bridge parallel world one small girl make difference great terrible endeavor lyra savage schemer liar fierce true champion roger asriel could want lyra know help one betray masterwork storytelling suspense philip pullman golden compass first dark material series continues subtle knife amber spyglass 1 new york time bestseller winner guardian prize child fiction published 40 country arguably best juvenile fantasy novel past twenty year washington post grand indeed new york time pullman quite possibly genius miss philip pullman epic new trilogy set world dark material book dust la belle sauvage secret commonwealth', 'modern fantasy classic entertainment weekly named greatest novel newsweek hailed top 100 book philip pullman take reader world human animal familiar parallel universe within reach lyra rushing cold far north witch clan armored bear rule north gobbler take child steal including friend roger north fearsome uncle asriel trying build bridge parallel world one small girl make difference great terrible endeavor lyra savage schemer liar fierce true champion roger asriel could want lyra know help one betray masterwork storytelling suspense philip pullman golden compass first dark material series continues subtle knife amber spyglass 1 new york time bestseller winner guardian prize child fiction published 40 country arguably best juvenile fantasy novel past twenty year washington post grand indeed new york time pullman quite possibly genius miss philip pullman epic new trilogy set world dark material book dust la belle sauvage secret commonwealth', 'modern fantasy classic entertainment weekly named greatest novel newsweek hailed top 100 book philip pullman take reader world human animal familiar parallel universe within reach lyra rushing cold far north witch clan armored bear rule north gobbler take child steal including friend roger north fearsome uncle asriel trying build bridge parallel world one small girl make difference great terrible endeavor lyra savage schemer liar fierce true champion roger asriel could want lyra know help one betray masterwork storytelling suspense philip pullman golden compass first dark material series continues subtle knife amber spyglass 1 new york time bestseller winner guardian prize child fiction published 40 country arguably best juvenile fantasy novel past twenty year washington post grand indeed new york time pullman quite possibly genius miss philip pullman epic new trilogy set world dark material book dust la belle sauvage secret commonwealth']"
8,129,8_ship_republic_jedi_han,"['ship', 'republic', 'jedi', 'han', 'narnia', 'luke', 'sea', 'pitt', 'war', 'leia']","['year battle endor new republic face even darker enemy two decade hero rebel alliance destroyed death star broke power emperor new republic struggled maintain peace prosperity among people galaxy unrest begun spread threatens destroy republic tenuous reign volatile atmosphere come nom anor charismatic firebrand heat passion boiling point sowing seed dissent dark motif jedi republic focus internal struggle new threat surface beyond farthest reach outer enemy bearing weapon technology unlike anything new republic scientist ever seen suddenly luke skywalker wife mara han solo leia organon solo solo thrust battle defend freedom many fought died time power force may enough', '1 new york time bestseller essential star war legend first ever take place event original admiral thrawn make debut galactic stage five year ago rebel alliance destroyed death star defeated darth vader emperor drove remnant old imperial starfleet distant corner galaxy princess leia han solo married expecting twin luke skywalker become first line jedi knight thousand away last emperor warlord grand admiral thrawn taken command shattered imperial fleet readied war pointed fragile heart new republic dark warrior made vital discovery could destroy everything courageous men woman rebel alliance fought hard build', 'new republic take devastating loss ongoingwar scattered remnant empire galaxy future depends three small child among jedi twin born incredible power peril extraordinary new saga unfolds new republic struggle decide deadly sun crusher new doomsday weapon stolen empire han solo renegade imperial admiral daala us fleet star destroyer conduct guerrilla warfare peaceful planet threatens watery homeworld admiral ackbar battle planet rage even greater danger emerges luke skywalker jedi academy brilliant student delf dangerously dark side force unleashes spirit ancient master evil order warped darth vader working together may become enemy greater new republic ever fought powerful even jedi master face']"
9,128,9_cat_yum_qwilleran_koko,"['cat', 'yum', 'qwilleran', 'koko', 'seuss', 'jim', 'dog', 'qwill', 'siamese', 'reader']","['prizewinning reporter jim qwilleran siamese cat koko yum yum must solve complicated caper vacation charming cozy mystery new york time bestselling cat series jim qwilleran enjoying stay nutcracker inn black creek two siamese koko yum yum seem quite pleased accommodation though koko enjoy keeping keen eye squirrel local wildlife koko eagerly watching jumping trout spot something else body floating downstream revealed victim guest nugget gold hidden dive case cat solve soon going creek without paddle', 'murder leaf jim qwilleran cat koko yum yum feeling tune new york time bestselling mystery cat series case summertime blue career crisis newspaper reporter jim qwilleran sure hoping day country help sort life cat koko yum yum company head cabin owned longtime family friend named aunt fanny moment arrives thing turn strange eerie footstep cross roof midnight townsfolk become oddly secretive fishing qwilleran hook murder mystery soon qwilleran enters game cat mouse killer koko develops sudden uncanny fondness classical music', 'mystery bestselling cat series jim qwilleran cat koko yum yum living high thing take deadly turn inheriting unexpected million left reporter jim qwilleran looking like cat swallowed canary two siamese cat koko yum yum adjust fat cat enormous mansion qwill sample lifestyle rich famous hiring staff eccentric servant missing housemaid shocking murder soon show qwilleran unsavory side upper crust koko propensity finding clue amid caviar champagne give qwill pause evaluate unlikely taste good life turn last meal']"
